iter	RMSE
0	2.096399107
1	2.046090234
2	1.999864807
3	1.95511224
4	1.914483671
5	1.875780341
6	1.839731612
7	1.806285594
8	1.776768133
9	1.746888773
10	1.720362654
11	1.696880864
12	1.673953113
13	1.653158172
14	1.634531532
15	1.615523507
16	1.597769869
17	1.58172993
18	1.566204177
19	1.55202656
20	1.539029626
21	1.527765079
22	1.515446014
23	1.506166731
24	1.496166582
25	1.48758277
26	1.478395205
27	1.470874499
28	1.462937973
29	1.455333158
30	1.44824077
31	1.441538624
32	1.434192722
33	1.429038609
34	1.423648244
35	1.419206783
36	1.413443145
37	1.409288804
38	1.404210786
39	1.399961528
40	1.395262226
41	1.389995833
42	1.38553946
43	1.382475392
44	1.378804175
45	1.375370418
46	1.372799051
47	1.371277407
48	1.368337339
49	1.365310015
50	1.363501451
51	1.360439121
52	1.357577144
53	1.357218333
54	1.354329578
55	1.351375473
56	1.348354632
57	1.34683456
58	1.343808762
59	1.341988497
60	1.339992081
61	1.336856086
62	1.334549515
63	1.333463569
64	1.331924274
65	1.329946438
66	1.32744305
67	1.325456203
68	1.322610875
69	1.321266342
70	1.319401141
71	1.31917731
72	1.317427118
73	1.316151583
74	1.314836904
75	1.313071586
76	1.312404676
77	1.311026823
78	1.310235182
79	1.30817982
80	1.308073007
81	1.306315826
82	1.305593865
83	1.303387384
84	1.302243759
85	1.302087257
86	1.300400756
87	1.299185017
88	1.297380663
89	1.296441
90	1.295747291
91	1.294998378
92	1.293196842
93	1.292432369
94	1.291814282
95	1.290539815
96	1.290074502
97	1.287549439
98	1.286753321
99	1.285384612
100	1.284915166
101	1.28299437
102	1.282613559
103	1.281667046
104	1.281224911
105	1.279415493
106	1.277586506
107	1.277358767
108	1.273779488
109	1.270872709
110	1.268922669
111	1.266530675
112	1.266095152
113	1.264689075
114	1.264590679
115	1.264236484
116	1.263671127
117	1.261626819
118	1.261385588
119	1.260414248
120	1.258220359
121	1.257983505
122	1.256342196
123	1.255301196
124	1.255029611
125	1.253679425
126	1.252416949
127	1.251915547
128	1.248916228
129	1.247490025
130	1.245333088
131	1.244899867
132	1.242647764
