iter	Passed	Remaining
0	5	5109
1	9	4870
2	14	4820
3	19	4751
4	23	4707
5	28	4701
6	32	4671
7	37	4659
8	42	4647
9	46	4645
10	51	4629
11	56	4618
12	60	4614
13	65	4602
14	70	4609
15	74	4600
16	79	4607
17	84	4598
18	88	4588
19	93	4586
20	98	4577
21	102	4567
22	107	4560
23	111	4553
24	116	4545
25	121	4536
26	125	4535
27	130	4531
28	135	4527
29	139	4525
30	144	4522
31	149	4516
32	153	4512
33	158	4504
34	163	4506
35	168	4505
36	172	4499
37	177	4496
38	182	4493
39	187	4488
40	191	4481
41	196	4480
42	201	4474
43	205	4464
44	210	4457
45	214	4446
46	218	4436
47	223	4423
48	227	4416
49	232	4409
50	236	4398
51	240	4393
52	245	4387
53	249	4374
54	254	4364
55	258	4359
56	263	4352
57	267	4342
58	271	4333
59	276	4324
60	280	4317
61	284	4307
62	289	4300
63	294	4302
64	299	4304
65	303	4301
66	308	4298
67	313	4298
68	318	4295
69	323	4291
70	328	4293
71	332	4287
72	337	4283
73	342	4281
74	346	4277
75	351	4273
76	356	4267
77	360	4264
78	365	4259
79	370	4256
80	372	4230
81	377	4227
82	382	4222
83	386	4218
84	391	4215
85	396	4210
86	400	4206
87	405	4201
88	410	4201
89	415	4196
90	419	4191
91	424	4187
92	429	4185
93	433	4180
94	438	4176
95	443	4173
96	447	4167
97	452	4163
98	457	4159
99	461	4156
100	466	4151
101	471	4148
102	475	4144
103	480	4139
104	484	4133
105	489	4130
106	494	4127
107	499	4122
108	503	4119
109	508	4116
110	513	4113
111	518	4109
112	522	4104
113	527	4101
114	532	4095
115	536	4090
116	541	4086
117	546	4084
118	550	4075
119	555	4070
120	560	4068
121	564	4063
122	569	4058
123	573	4053
124	578	4049
125	583	4044
126	587	4040
127	592	4037
128	597	4036
129	602	4031
130	607	4027
131	611	4023
132	616	4019
