ID,embed_pca_0,embed_pca_1,embed_pca_2,embed_pca_3,embed_pca_4,embed_pca_5,embed_pca_6,embed_pca_7,embed_pca_8,embed_pca_9,embed_pca_10,embed_pca_11,embed_pca_12,embed_pca_13,embed_pca_14,embed_pca_15,embed_pca_16,embed_pca_17,embed_pca_18,embed_pca_19,embed_pca_20,embed_pca_21,embed_pca_22,embed_pca_23,embed_pca_24,embed_pca_25,embed_pca_26,embed_pca_27,embed_pca_28,embed_pca_29,embed_pca_30,embed_pca_31,embed_pca_32,embed_pca_33,embed_pca_34,embed_pca_35,embed_pca_36,embed_pca_37,embed_pca_38,embed_pca_39,embed_pca_40,embed_pca_41,embed_pca_42,embed_pca_43,embed_pca_44,embed_pca_45,embed_pca_46,embed_pca_47,embed_pca_48,embed_pca_49,embed_pca_50,embed_pca_51,embed_pca_52,embed_pca_53,embed_pca_54,embed_pca_55,embed_pca_56,embed_pca_57,embed_pca_58,embed_pca_59,embed_pca_60,embed_pca_61,embed_pca_62,embed_pca_63,embed_pca_64,embed_pca_65,embed_pca_66,embed_pca_67,embed_pca_68,embed_pca_69,embed_pca_70,embed_pca_71,embed_pca_72,embed_pca_73,embed_pca_74,embed_pca_75,embed_pca_76,embed_pca_77,embed_pca_78,embed_pca_79,embed_pca_80,embed_pca_81,embed_pca_82,embed_pca_83,embed_pca_84,embed_pca_85,embed_pca_86,embed_pca_87,embed_pca_88,embed_pca_89,embed_pca_90,embed_pca_91,embed_pca_92,embed_pca_93,embed_pca_94,embed_pca_95,embed_pca_96,embed_pca_97,embed_pca_98,embed_pca_99,embed_pca_100,embed_pca_101,embed_pca_102,embed_pca_103,embed_pca_104,embed_pca_105,embed_pca_106,embed_pca_107,embed_pca_108,embed_pca_109,embed_pca_110,embed_pca_111,embed_pca_112,embed_pca_113,embed_pca_114,embed_pca_115,embed_pca_116,embed_pca_117,embed_pca_118,embed_pca_119,embed_pca_120,embed_pca_121,embed_pca_122,embed_pca_123,embed_pca_124,embed_pca_125,embed_pca_126,embed_pca_127
0,0.12636898,1.4687506,0.20541345,-1.4208891,-0.014797954,-0.34735155,0.553304,0.91128814,-0.8650467,0.1172045,1.313726,-0.5220076,0.0012301188,0.44977853,0.123069786,-0.4108397,0.82848793,-0.007538706,-0.5765785,0.030129585,0.26967177,-0.27763408,0.22809117,-0.3316503,-0.026397,0.7468569,-0.18421355,0.21107516,-0.35467348,-0.7739288,-0.105126165,0.4629943,0.39509726,-0.1728816,0.5114359,-0.08428935,-0.17440318,-0.14468962,0.3125698,0.41539255,-0.22145198,0.07084967,-0.0927533,-0.17654799,0.2692715,-0.39584956,-0.09313152,0.40726843,-0.09935464,-0.6656082,0.60590667,-0.3481343,-0.6194458,0.18006746,0.16457549,-0.39519083,0.11861473,-0.28543353,-0.42914727,0.104174696,-0.7160484,-0.12757437,-0.006948394,-0.21197958,-0.31990188,1.0925708,0.32159153,0.014169733,0.9453495,-0.078428015,-0.27521572,-0.56528443,-0.060698144,0.59938985,-0.22384939,0.011547732,-0.39464855,0.16040945,0.33145478,-0.3401556,0.32790568,-0.121946946,-0.45863277,0.5025929,-0.87008786,-0.9100421,0.13489476,-0.11381807,0.44526434,-0.4179825,-0.6298817,0.38910237,0.13409881,0.4703774,-0.5968029,-0.11261505,0.32933277,-0.92654896,-0.97702575,0.035990044,-0.18156448,1.144439,0.68074036,-0.67149067,0.12770736,-0.87524915,-0.104559876,0.032461207,-0.6245707,0.26643634,0.31884703,0.5411405,-0.27940157,0.3841082,0.29130703,-0.71714896,-0.57595015,0.3650523,0.024247982,-0.4254301,0.260301,0.428108,0.22044004,0.2232533,-1.1109004,0.84372604,-0.40607116,0.435183
1,-0.52175945,1.05282,0.1432133,-0.52381396,-0.24996999,0.09945926,0.8733065,-2.1409698,0.22642785,-0.3672915,0.5230257,0.8663573,-0.15734266,0.10318074,-1.4533801,-0.0390827,1.9728845,0.671158,-0.28578553,1.2182741,0.21957406,-0.8503357,1.469768,0.4252753,-2.2283294,-1.5988759,-1.4402853,1.1948459,-2.2776828,0.20603293,2.728618,-0.4730433,1.0949929,-2.8244383,-1.5775657,1.9917678,1.7598709,1.3351103,-0.6213132,-0.36652726,-0.61756605,0.63505965,-0.68015,0.5740839,0.25048226,0.42618445,0.24465458,1.0751554,0.7476722,0.96199954,1.1918505,0.05737226,1.5215871,0.05946846,-1.4467937,0.3172464,-2.000836,-0.38546088,0.92612314,-1.3912035,-1.8943197,0.32714808,-0.38702014,1.4335,0.049979664,-0.21390885,-1.4697883,0.79983974,-0.06743425,-0.6057283,0.39010528,-0.25697893,0.20656389,-1.3640629,-1.19672,-0.4121058,2.6992848,0.015798012,0.7619336,0.76837224,-1.5525116,1.2579722,0.04283149,-0.39178196,0.29161367,0.4686812,-0.18655834,0.054267045,1.5250232,-0.7404334,-0.53242713,-0.65117,-1.1516474,0.91417426,-0.5551849,0.35151136,-0.47860333,-0.96886134,-1.4991173,-0.58909655,1.5972843,0.62928534,-0.9697886,0.85418224,2.628638,-1.4295653,-1.1703781,2.1239233,-1.2417405,-0.57833534,1.7654101,-0.037028495,0.5111566,-0.7005522,1.0069036,-0.7124224,-0.094787955,1.0936182,-0.70766264,-0.5638762,-1.5979285,-1.9671084,0.19656752,-1.9476379,-0.9428892,-1.0196799,-0.47020814,0.75281894
2,0.078855745,0.34959894,-0.6053344,1.273286,-0.68267,0.66411453,-0.716111,-0.18285392,0.9428141,0.4115344,0.41565073,-0.16495395,1.2790488,0.047522787,-0.040328644,0.4707373,-1.1165521,-1.7178514,-0.48652318,1.0082929,-0.13635485,-1.8299122,-0.62284535,0.1356005,-0.6237488,0.49783874,0.07741942,-0.44185698,0.37097985,0.36455628,-0.5930744,0.32561564,-0.036754847,-0.15547161,-0.57194906,-0.15680654,0.79617584,-0.39820522,0.87121207,0.1880036,0.49489278,0.87825006,0.24159445,-0.05810542,0.42078337,0.1389719,-0.5384924,-0.16570002,0.32929167,0.38996127,0.84323186,0.7116598,-0.7042508,-2.4180884,0.14222465,-0.264765,0.81502634,-1.5075294,1.7216185,-0.22976118,-0.5255906,-1.6838835,0.14267421,-0.43670288,0.35560215,-0.5203984,-0.70428544,0.653343,0.85259527,-0.6981055,-0.79410887,0.83485883,0.3429824,-0.5164351,-1.860394,1.455221,-0.8127287,0.67053145,1.2900153,-0.31329012,-0.8928916,2.1352267,1.5101888,1.2820698,0.21568732,-0.20397466,0.6882918,1.2549143,0.20629963,-1.5426941,1.7971555,-0.8365981,-0.5867247,0.6096627,-1.6159495,-1.1586666,1.685921,-0.82035005,-0.08441118,0.29174608,0.48648208,0.13359559,0.98878044,0.33256653,-1.1410229,0.7270756,-0.77154493,-0.9438806,-0.35870066,-0.36622897,0.8810702,0.16647413,-1.5524316,-0.20308964,1.1869473,0.38179114,0.22395809,-0.92475283,0.24294224,0.1850388,0.32993853,-1.2670053,-0.9300541,1.640389,0.7407583,0.3426714,-0.20520349,1.1419141
3,-0.7561019,-0.39101875,0.3389484,-2.2094986,-0.78163856,0.34918272,-0.0011266902,2.3265424,-0.80582505,1.6231344,0.9965049,-1.0556343,-0.15290013,0.5272282,0.4522228,0.22590034,0.5811002,0.63813585,-0.6849645,-0.074366614,0.761172,-0.11357366,0.33076996,-0.08908541,-0.36717746,1.747596,-0.66803986,1.1904567,-0.36394677,-1.7148839,0.46381238,-0.0888619,-0.600069,0.2546605,1.5454459,-0.4476848,0.67815655,0.15807459,0.005392223,0.1489163,0.96164596,-0.011864021,-0.15995316,-0.33293402,0.45945206,-1.2829251,0.6116232,0.5798109,0.16820735,-0.11651768,-0.47961932,0.11642523,-0.54854125,-0.25683105,-0.7094781,-0.44056192,-0.5157748,0.1737418,0.81547356,0.38198203,-0.6207146,-0.7512803,-0.068337016,0.27687114,-0.16376472,-0.31633508,-0.4259427,-0.20393918,-0.90754753,-1.0911592,0.3096078,-0.95066077,-0.7186546,-0.11854713,0.8033261,0.55823827,-0.8306591,-0.6686698,0.6002237,0.65340936,-1.3655157,0.12750283,0.6566684,0.100401014,-0.5581042,-0.7049119,-1.1333876,-1.0376066,-0.64048463,0.14027636,0.2775152,0.3266042,-0.60167164,0.9542207,0.022407988,-0.6048638,0.13325213,-0.50794905,-0.3545787,0.5773792,-0.49004453,0.09019274,-0.6234142,0.11457233,0.44710502,0.116583586,0.32411572,0.5602006,0.75267226,0.16683303,-0.2733021,0.15222661,-0.96450335,0.40472773,-0.041813046,0.41550475,1.0586873,0.945904,-1.6865584,0.87487304,-0.5348155,-0.493274,1.3284867,0.9437823,1.0658817,0.66760284,0.058111567,-0.13333741
4,-0.025546374,0.55386716,-1.2187891,1.1340985,0.25876322,0.2253151,-1.2561013,0.6515281,-0.101514965,1.6796112,0.2553197,0.42306486,-0.23754378,0.6197787,0.30172125,-0.1522759,-0.0028925154,-0.13417466,-0.5991064,0.29932997,0.15294689,-0.074797615,-0.08707857,-0.40769145,0.49773407,-0.5560568,0.0511218,-0.029128075,0.5557505,-0.05720728,-0.24940526,0.23341018,0.17944779,-0.11057514,-0.5169349,0.028581802,0.16185994,0.25750363,0.08998189,-0.03839959,-0.23474747,0.42382556,-0.093191236,0.9616219,0.53710335,0.54685795,0.018111587,-0.9592929,-0.12281763,0.6494773,-0.9296856,0.035487168,-0.1683666,-0.1319079,-0.38124746,0.6370481,-0.15987043,-0.6769284,-0.8346846,-0.23324907,-0.19729045,-0.5071437,-0.1242439,-0.29321757,-0.253745,0.42414695,-0.56504774,0.76087725,-0.4202365,-0.4553555,-0.70096546,0.5145174,-0.54017025,0.042348593,1.1017735,-0.83760726,0.9094774,-0.0005499331,-0.15417203,0.11631328,0.5294431,-0.54012316,0.15039727,-0.41296285,0.44835636,0.037012123,0.88597995,-0.45536765,-0.12077701,-0.28392726,0.23792523,-0.2578923,0.5577812,1.1926932,-0.06916859,1.1077875,-0.7281799,-0.84158045,1.511872,-1.109883,0.059081454,0.20810728,0.14227283,0.81847537,0.6470309,-0.3259471,-0.97413135,-0.21164899,-0.2855279,-0.6080953,-0.015301755,-0.12225434,1.0229429,-1.4289172,-0.23606116,-1.4906813,-0.19788711,-0.68442744,-0.75707567,-0.8013245,0.55634826,-0.4464451,-0.17687044,0.4621732,-0.38375124,-0.12727033,-0.7506091,-0.23281457
5,1.9836613,-1.9839717,0.11648014,-2.5934322,0.69762367,0.59107345,0.7854458,-1.3616878,1.4213465,0.74302614,-0.34410265,-1.8896435,-0.651845,-3.4339225,-0.16766503,1.4484342,0.96918017,1.0232772,0.100431114,-0.11933935,1.4198467,-2.2127218,-0.5317086,1.308917,-0.6189787,1.9259192,0.8218142,0.49874055,-1.0235385,0.6342079,-1.2329352,-1.5045065,2.5571396,-1.2922989,1.3340616,0.84771883,-0.43427706,-0.07322238,-1.5185548,-2.8379238,0.987419,-1.6496878,-1.1033025,-0.3202598,1.0736127,0.8205165,-0.19389366,-0.5567352,-0.79398286,0.38294187,-0.8204207,1.2515334,1.1217368,0.3818211,0.6940944,0.56039673,-0.94322824,0.77096087,-1.53108,0.7948001,-0.5669704,-0.52539176,-0.8933959,0.87215036,-1.2391908,-0.053556304,-0.9779539,-0.84586793,1.1855278,-0.41844946,0.15370816,0.3038982,-1.3509573,0.38201973,0.2533685,-0.8612075,-0.13914278,1.2488713,0.30336046,-1.1159482,-1.0599248,1.2817249,-1.0505254,-0.2834114,1.2564522,1.4213414,-1.0403169,-0.94806665,1.6911056,-0.9570777,-0.0078123384,-0.982036,1.7924376,0.42478916,-0.115612864,0.48421338,1.1423244,0.36459252,1.3232558,-0.28189757,-1.5732169,0.7836537,0.87163764,0.84602576,0.41671515,-1.5258645,1.6382799,-0.44828126,-1.6527133,0.256452,-1.6371586,0.995265,0.71394646,-0.37194127,-2.588709,1.417766,-1.965016,0.289697,0.0028560762,-0.9429263,-0.9906456,-0.43057904,-0.5679153,1.2713339,-0.8547204,1.4090062,-0.8237795,-0.69696116
6,0.3639091,-0.09323241,-0.38022715,0.48942894,-1.2112167,0.6189401,-0.12810497,-0.2223145,0.047674082,0.26631194,0.7520329,0.13289067,1.022823,0.36900553,0.267102,0.6237674,-0.86914325,-1.3672606,-0.103295125,0.9995049,0.3744577,-2.6830196,-1.0589784,-0.3072708,-0.9957705,0.44741917,0.029586323,-0.5553356,0.9745387,1.1979762,-0.7172683,0.37914515,-0.082289435,0.31632236,-0.50751686,-0.22176962,0.9830385,-0.8459933,0.78154284,0.16587162,0.7108977,0.33602753,1.4802392,0.5509071,-0.07872281,0.60439086,-0.36786303,0.47600734,0.21548736,0.22121607,0.03000639,0.7221042,-0.7591683,-2.4298747,-0.11257716,-0.46629542,0.7995378,-1.2969726,1.6040082,0.5250642,-0.22989774,0.19661506,0.7375106,0.53580135,0.3168943,-1.3778123,-0.6917834,1.2269093,-0.24812669,-0.14406565,-0.2888252,1.567764,1.1075301,-0.44547987,-0.833128,0.91957325,-0.34219742,1.19589,0.48746356,-1.612001,-0.9384482,0.5881662,1.2234694,0.9963883,0.47966036,-0.31332913,0.29032886,0.48413745,0.1819763,0.23885256,1.6959747,-1.1201069,-0.68472403,0.32560667,-0.6420506,-1.6994632,2.0276215,1.0699475,0.3403455,-1.2922338,0.70749384,-0.6501027,0.92997587,0.5484418,-0.32630867,-0.4920976,0.46560296,-1.3859103,-1.1815401,0.50889224,0.27877104,-1.0546921,-1.1769675,0.07054451,0.10406408,0.1985816,-0.20757121,-0.89179057,0.52257955,-0.51175714,0.13794564,-0.120061666,-0.9646519,0.02077584,-0.49980462,-0.8605211,0.06591695,-1.1365461
7,0.60512704,0.3883344,1.2616128,-0.46438238,0.30937254,0.3949123,-0.10120809,0.20688821,-0.8139363,1.1291425,0.7403622,0.5422446,0.512619,-1.3353826,-1.953224,-3.3977807,-0.34536964,1.1716356,0.16247733,-1.3261408,0.3128105,-0.7203776,0.31970596,-0.7030754,-0.17048968,1.6033437,-0.6164625,0.83181447,0.2629983,0.02959885,-0.15969656,-1.0010478,1.1149153,-0.38578722,0.26969293,-0.10137326,0.6635383,0.08293512,-0.36829492,-1.7695863,-0.48981944,-0.3302435,-0.13192753,-0.14232309,-0.71650517,-0.9369711,0.17480701,-0.57002634,-0.12976968,-0.09003158,-1.6491361,-0.5067302,1.5054526,-0.1226622,-0.14913356,0.15168697,0.7416942,0.06931695,0.7018925,-0.2362747,-0.34158182,-1.7700766,-0.14529349,-0.032088473,-1.4249427,1.2978599,-0.70210373,-1.8361161,1.0565263,-0.21466863,0.28641796,0.52385306,0.07128414,-1.5453317,-0.83878666,0.92462,-0.37475243,0.47493696,0.17528173,-0.39584175,0.860851,-0.079475805,-0.50811076,0.10108221,0.64213943,0.07339228,-0.03754917,0.7706057,-0.20205149,-1.0461581,-0.41239613,-0.7731736,1.3603196,-1.1310071,-0.19619732,0.33363372,0.07902328,1.0184458,-0.07970233,0.28913292,0.3913898,0.15178812,0.54213136,0.23034751,0.11319275,0.20108655,-0.534852,0.46344554,-0.6623382,-0.08949284,-0.19638476,-0.4397783,-0.2050695,0.36665192,0.052774597,-0.18528497,-0.46921918,0.6731378,-0.058672503,0.07260202,0.86983716,1.0155478,0.28400615,0.23427247,-0.31431103,0.38947207,-0.052281085,0.3836269
8,-2.1625981,0.6784185,-0.9508771,0.5588786,-0.5476174,-0.20044357,-0.24077532,0.5786779,0.20477797,-0.7698809,-0.5104444,-1.3087513,1.0807836,-0.7156376,-0.7949566,0.58235765,-1.0335711,-0.08170396,0.0992928,0.8946672,0.30017465,-1.6829748,-0.5238251,0.8754172,-0.8165639,1.8700868,1.191626,-0.50141454,-0.6078864,-0.2848838,-0.75195515,-0.3982524,-0.4437301,0.15149234,0.097892925,0.43387166,-1.3456439,1.2295989,-0.25825065,-0.42301455,0.12165817,-1.2794225,0.5408543,0.2399862,1.261771,-0.053893123,0.31918424,-1.2996377,-0.63145447,1.0917262,-0.062101886,-0.4060518,0.0459408,-1.4012074,0.4268928,-0.022187255,-0.67485344,1.3269844,-0.13329133,0.12221871,0.826402,1.1697823,0.04670028,-0.2162993,-0.3732496,-1.2462059,-0.5542622,-1.163502,1.8243122,0.09148191,-0.7098158,-0.5010556,0.006333489,-0.044791345,0.48543987,0.10661823,-0.20508811,0.21905157,0.7562481,0.44465747,0.9591541,1.1269972,0.96779084,0.64742506,1.642637,-0.038677357,0.45569864,0.77894676,0.25092146,-1.0676925,0.13089213,2.1684444,-0.68780005,-0.9801587,0.26415044,1.3314154,0.3329916,-0.43689126,-0.3838904,-0.45279938,-0.767591,1.411604,-2.5154872,1.5468507,1.3904524,-0.29971057,-0.063345514,-1.8435705,0.45896924,1.2798107,1.0367336,0.38562024,1.3411974,-0.5108624,0.12142183,0.9119863,-1.5708314,-0.91198826,0.38633046,0.7360913,0.5751628,-0.21938813,-0.4093735,1.1319174,0.015314643,-1.0361341,-2.028519,-0.85587335
9,-2.1789577,0.70075005,-0.9534451,0.6167642,-0.6035483,-0.13184598,-0.20906347,0.68736863,0.22577405,-0.81354386,-0.6363681,-1.5610691,1.4502451,-1.2731676,-1.1457003,0.69241035,-1.151919,-0.26346734,-0.50566256,0.19842121,0.28515217,-1.596397,-0.31667233,1.1277754,-0.65717095,1.4744623,0.9620708,-0.4267756,-0.5152688,-0.20534174,-0.62327856,-0.49891925,-0.39174375,0.34684378,-0.0751839,0.33324274,-1.2428764,1.480439,-0.18293884,-0.5210124,0.24546269,-0.25778157,-0.31770408,-0.098485716,0.12578675,-0.62610704,0.7887659,-1.5373514,-0.422751,1.6711318,0.05894801,-0.62300384,0.15727407,-1.6302791,0.33289477,0.16202943,-0.91903764,1.4712204,-0.4458763,0.06729391,0.8100358,0.96370065,0.29078227,-0.67154276,-0.19575138,-1.2138097,-0.22297642,-1.1680549,1.5673811,-0.16555682,-0.44196677,-1.3944569,-0.27005896,0.0083169965,0.83444244,0.1381459,-0.07890513,-0.28613335,0.96338505,1.0406157,1.331992,1.1638504,0.99529725,0.74778503,1.8466306,-0.26709276,0.1928522,0.05973251,-0.35821536,-0.63347703,0.05133158,2.254277,-0.05804629,-0.927078,-0.106610864,1.4243563,-0.07948809,-0.55051696,0.36087513,0.7393531,-0.5567944,1.0463668,-1.6288799,0.95117706,0.96993536,-1.3207772,-0.44763067,-1.618849,0.08052684,1.4567415,0.5312135,1.144589,1.4870437,-1.3169312,0.24815984,1.484079,-1.2408476,-1.1539702,0.27928936,1.1310018,0.51411396,-0.055532224,-0.1259793,0.7034639,-0.06905408,-1.059373,-1.530462,-0.9940498
